2838771,1234680,EVT32838770,CPPCC1234679,4331745,Kramer,Robert
2838773,1234682,EVT32838772,CPPCC1234681,4331752,Kramer,Robert
2838775,1234684,EVT32838774,CPPCC1234683,4331759,Kramer,Robert
2838777,1234686,EVT32838776,CPPCC1234685,4331766,Kramer,Robert
2838779,1234688,EVT32838778,CPPCC1234687,4331773,Kramer,Robert
2838781,1234690,EVT32838780,CPPCC1234689,4331780,Kramer,Robert
2838783,1234692,EVT32838782,CPPCC1234691,4331787,Kramer,Robert
2838785,1234694,EVT32838784,CPPCC1234693,4331794,Kramer,Robert
2838787,1234696,EVT32838786,CPPCC1234695,4331801,Kramer,Robert
2838789,1234698,EVT32838788,CPPCC1234697,4331808,Kramer,Robert
2838791,1234700,EVT32838790,CPPCC1234699,4331815,Kramer,Robert
2838793,1234702,EVT32838792,CPPCC1234701,4331822,Kramer,Robert
2838795,1234704,EVT32838794,CPPCC1234703,4331829,Kramer,Robert
2838797,1234706,EVT32838796,CPPCC1234705,4331836,Kramer,Robert
2838799,1234708,EVT32838798,CPPCC1234707,4331843,Kramer,Robert
2838801,1234710,EVT32838800,CPPCC1234709,4331850,Kramer,Robert
2838803,1234712,EVT32838802,CPPCC1234711,4331857,Kramer,Robert
2838805,1234714,EVT32838804,CPPCC1234713,4331864,Kramer,Robert
2838807,1234716,EVT32838806,CPPCC1234715,4331871,Kramer,Robert
2838809,1234718,EVT32838808,CPPCC1234717,4331878,Kramer,Robert
2838811,1234720,EVT32838810,CPPCC1234719,4331885,Kramer,Robert
2838813,1234722,EVT32838812,CPPCC1234721,4331892,Kramer,Robert
2838815,1234724,EVT32838814,CPPCC1234723,4331899,Kramer,Robert
2838817,1234726,EVT32838816,CPPCC1234725,4331906,Kramer,Robert
2838819,1234728,EVT32838818,CPPCC1234727,4331913,Kramer,Robert
2838821,1234730,EVT32838820,CPPCC1234729,4331920,Kramer,Robert
2838823,1234732,EVT32838822,CPPCC1234731,4331927,Kramer,Robert
2838825,1234734,EVT32838824,CPPCC1234733,4331934,Kramer,Robert
2838827,1234736,EVT32838826,CPPCC1234735,4331941,Kramer,Robert
2838829,1234738,EVT32838828,CPPCC1234737,4331948,Kramer,Robert
2838831,1234740,EVT32838830,CPPCC1234739,4331955,Kramer,Robert
2838833,1234742,EVT32838832,CPPCC1234741,4331962,Kramer,Robert
2838835,1234744,EVT32838834,CPPCC1234743,4331969,Kramer,Robert
2838837,1234746,EVT32838836,CPPCC1234745,4331976,Kramer,Robert
2838839,1234748,EVT32838838,CPPCC1234747,4331983,Kramer,Robert
2838841,1234750,EVT32838840,CPPCC1234749,4331990,Kramer,Robert
2838843,1234752,EVT32838842,CPPCC1234751,4331997,Kramer,Robert
2838845,1234754,EVT32838844,CPPCC1234753,4332004,Kramer,Robert
2838847,1234756,EVT32838846,CPPCC1234755,4332011,Kramer,Robert
2838849,1234758,EVT32838848,CPPCC1234757,4332018,Kramer,Robert
2839275,1235186,EVT32839274,CPPCC1235185,4333516,Kramer,Robert
2839277,1235188,EVT32839276,CPPCC1235187,4333523,Kramer,Robert
2839279,1235190,EVT32839278,CPPCC1235189,4333530,Kramer,Robert
2839281,1235192,EVT32839280,CPPCC1235191,4333537,Kramer,Robert
2839283,1235194,EVT32839282,CPPCC1235193,4333544,Kramer,Robert
2838851,1234760,EVT32838850,CPPCC1234759,4332025,Kramer,Robert
2838853,1234762,EVT32838852,CPPCC1234761,4332032,Kramer,Robert
2838855,1234764,EVT32838854,CPPCC1234763,4332039,Kramer,Robert
2838857,1234766,EVT32838856,CPPCC1234765,4332046,Kramer,Robert
2838859,1234768,EVT32838858,CPPCC1234767,4332053,Kramer,Robert
