3004345,Kramer_846049,Robert_846050,5000261,5000260
3004254,Kramer_845999,Robert_846000,5000105,5000104
3004314,Kramer_846033,Robert_846034,5000213,5000212
3004254,Kramer_845999,Robert_846000,5000105,5000104
3004254,Kramer_845999,Robert_846000
3004284,Kramer_846017,Robert_846018
3004345,Kramer_846049,Robert_846050
3004373,Kramer_846065,Robert_846066
3004401,Kramer_846081,Robert_846082
3004429,Kramer_846097,Robert_846098
3004465,Kramer_846115,Robert_846116
3004494,Kramer_846131,Robert_846132
3004522,Kramer_846147,Robert_846148
3004552,Kramer_846163,Robert_846164
3004586,Kramer_846179,Robert_846180
3004614,Kramer_846195,Robert_846196
3004644,Kramer_846212,Robert_846213
3004672,Kramer_846229,Robert_846230
3004702,Kramer_846246,Robert_846247
3004732,Kramer_846263,Robert_846264
3004765,Kramer_846279,Robert_846280
3004796,Kramer_846295,Robert_846296
3004824,Kramer_846311,Robert_846312
3004852,Kramer_846327,Robert_846328
3004882,Kramer_846345,Robert_846346
3004912,Kramer_846363,Robert_846364
3004942,Kramer_846381,Robert_846382
3004970,Kramer_846397,Robert_846398
3004999,Kramer_846413,Robert_846414
3005029,Kramer_846429,Robert_846430
3005059,Kramer_846445,Robert_846446
3005092,Kramer_846461,Robert_846462
3005123,Kramer_846477,Robert_846478
3005153,Kramer_846493,Robert_846494
3005181,Kramer_846509,Robert_846510
3005209,Kramer_846525,Robert_846526
3005237,Kramer_846541,Robert_846542
3005265,Kramer_846557,Robert_846558
3005295,Kramer_846575,Robert_846576
3005323,Kramer_846591,Robert_846592
3005351,Kramer_846607,Robert_846608
3005382,Kramer_846624,Robert_846625
3005414,Kramer_846641,Robert_846642
3005442,Kramer_846657,Robert_846658
3005476,Kramer_846676,Robert_846677
3005507,Kramer_846693,Robert_846694
3005534,Kramer_846707,Robert_846708
3005565,Kramer_846723,Robert_846724
3005601,Kramer_846744,Robert_846745
3005638,Kramer_846761,Robert_846762
3005666,Kramer_846777,Robert_846778
3005696,Kramer_846794,Robert_846795
3005724,Kramer_846811,Robert_846812
3005752,Kramer_846827,Robert_846828
3005788,Kramer_846845,Robert_846846
3005817,Kramer_846861,Robert_846862
3005845,Kramer_846877,Robert_846878
3005872,Kramer_846893,Robert_846894
3005899,Kramer_846909,Robert_846911
3005937,Kramer_846927,Robert_846928
