3007875,Kramer_847913,Robert_847914
3007913,Kramer_847932,Robert_847933
3007950,Kramer_847952,Robert_847953
3007990,Kramer_847969,Robert_847970
3008025,Kramer_847987,Robert_847988
3008063,Kramer_848005,Robert_848006
3008100,Kramer_848023,Robert_848024
3008137,Kramer_848042,Robert_848043
3008172,Kramer_848061,Robert_848063
3008209,Kramer_848080,Robert_848081
3008244,Kramer_848099,Robert_848100
3008282,Kramer_848118,Robert_848119
3008316,Kramer_848136,Robert_848137
3008352,Kramer_848155,Robert_848156
3008390,Kramer_848171,Robert_848172
3008427,Kramer_848189,Robert_848190
3008466,Kramer_848208,Robert_848209
3008501,Kramer_848227,Robert_848228
3008536,Kramer_848245,Robert_848246
3008573,Kramer_848264,Robert_848265
3008608,Kramer_848283,Robert_848284
3008647,Kramer_848302,Robert_848303
3008689,Kramer_848322,Robert_848323
3008727,Kramer_848341,Robert_848342
3008762,Kramer_848359,Robert_848360
3008804,Kramer_848379,Robert_848380
3008842,Kramer_848398,Robert_848399
3008877,Kramer_848417,Robert_848418
3008919,Kramer_848435,Robert_848436
3008958,Kramer_848453,Robert_848454
3008998,Kramer_848472,Robert_848473
3009033,Kramer_848490,Robert_848491
3009068,Kramer_848509,Robert_848510
3009106,Kramer_848527,Robert_848528
3009145,Kramer_848546,Robert_848547
3009180,Kramer_848564,Robert_848565
3009215,Kramer_848583,Robert_848584
3009252,Kramer_848603,Robert_848604
3009290,Kramer_848622,Robert_848623
3009329,Kramer_848641,Robert_848642
3009364,Kramer_848659,Robert_848660
3009402,Kramer_848678,Robert_848679
3009441,Kramer_848696,Robert_848697
3009479,Kramer_848716,Robert_848717
3009516,Kramer_848734,Robert_848735
3009555,Kramer_848753,Robert_848754
3009590,Kramer_848771,Robert_848772
3009629,Kramer_848789,Robert_848790
3009664,Kramer_848807,Robert_848808
3009705,Kramer_848826,Robert_848827
