5543,5530,2012002712-5542,2C2-5529,1056,VANDYKE,DANIEL,,"5530,",,,
5549,5536,2012002712-5548,2C2-5535,1056,VANDYKE,DANIEL,,"5536,",,,
5555,5542,2012002712-5554,2C2-5541,1056,VANDYKE,DANIEL,,"5542,",,,
5561,5548,2012002712-5560,2C2-5547,1056,VANDYKE,DANIEL,,"5548,",,,
5567,5554,2012002712-5566,2C2-5553,1056,VANDYKE,DANIEL,,"5554,",,,
5573,5560,2012002712-5572,2C2-5559,1056,VANDYKE,DANIEL,,"5560,",,,
5579,5566,2012002712-5578,2C2-5565,1056,VANDYKE,DANIEL,,"5566,",,,
5585,5572,2012002712-5584,2C2-5571,1056,VANDYKE,DANIEL,,"5572,",,,
5591,5578,2012002712-5590,2C2-5577,1056,VANDYKE,DANIEL,,"5578,",,,
5597,5584,2012002712-5596,2C2-5583,1056,VANDYKE,DANIEL,,"5584,",,,
5603,5590,2012002712-5602,2C2-5589,1056,VANDYKE,DANIEL,,"5590,",,,
5609,5596,2012002712-5608,2C2-5595,1056,VANDYKE,DANIEL,,"5596,",,,
5615,5602,2012002712-5614,2C2-5601,1056,VANDYKE,DANIEL,,"5602,",,,
5621,5608,2012002712-5620,2C2-5607,1056,VANDYKE,DANIEL,,"5608,",,,
5627,5614,2012002712-5626,2C2-5613,1056,VANDYKE,DANIEL,,"5614,",,,
5633,5620,2012002712-5632,2C2-5619,1056,VANDYKE,DANIEL,,"5620,",,,
5639,5626,2012002712-5638,2C2-5625,1056,VANDYKE,DANIEL,,"5626,",,,
5645,5632,2012002712-5644,2C2-5631,1056,VANDYKE,DANIEL,,"5632,",,,
5651,5638,2012002712-5650,2C2-5637,1056,VANDYKE,DANIEL,,"5638,",,,
5657,5644,2012002712-5656,2C2-5643,1056,VANDYKE,DANIEL,,"5644,",,,
